CONTROL,JAMMORT,JHELOCADD,JHELOCBAL,JHELOCLIM,JINTRATE,JLOANTYPE,JMISCPMT,JMORTADDTN,JMORTCLASS,JMORTLINE,JMORTTYPE,JPMTAMT,JPMTFREQ,JPMTONLY,JREFI,JREFICSH,JREFICSHAMT,JTAXPMT,AMMORT,REFI,MORTCLASS,MORTTYPE,TAXPMT,PMTONLY,MORTLINE,REFICSHAMT,MORTADDTN,HELOCLIM,REFICSH,HELOCBAL,HELOCADD,PMTFREQ,LOANTYPE,MISCPMT,PMTAMT,INTRATE
'11008498','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',75881,'2','1','2','1',357,1,-6,-6,-6,'-6','-6','-6','1','1','1',620,3.03
'11008507','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',317866,'1','1','1','1',2119,1,-6,-6,-6,'2','-6','-6','1','1','2',2595,2.874
'11008508','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',432457,'2','1','1','1',1798,1,-6,-6,-6,'-6','-6','-6','1','1','1',2303,3.025
'11008509','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',223308,'1','1','1','2',1008,1,-6,-6,-6,'2','-6','-6','1','1','2',1670,3.024
'11008512','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',209526,'-9','1','1','-9',894,1,-6,-6,-6,'-6','-6','-6','-9','1','2',805,3.124
'11008519','2','0','0','0','2','0','0','0','0','0','0','0','0','2','0','0','0','0',24186,'1','1','2','1',121,1,-6,-6,-6,'-9','-6','-6','1','1','2',571,4.134
'11008522','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',410107,'1','1','1','1',1685,1,-6,-6,-6,'2','-6','-6','1','1','1',3361,2.653
'11008524','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0',480306,'1','1','1','1',1957,1,62800,100,-6,'1','-6','-6','1','1','1',2881,2.887
'11008526','2','0','0','0','0','0','0','0','0','0','0','1','0','2','0','0','0','1',1518191,'2','1','1','1',9519,1,-6,-6,-6,'-6','-6','-6','1','1','2',11897,5.918
'11008526','2','0','0','0','2','0','0','0','0','0','0','1','0','2','0','0','0','1',50388,'2','1','1','2',274,2,-6,-6,-6,'-6','-6','-6','1','2','2',222,5.6
'11008527','2','0','0','0','2','0','0','0','1','2','1','1','0','2','0','0','0','0',419117,'-9','1','1','-9',2013,1,-6,-6,-6,'-6','-6','-6','-9','1','2',1831,4.502
